OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,SOURCE_DATE,SOURCE,PARKING_ACCESS,STREET,PARKINGONSTREETID,PARKING_COST,CREATE_DATE,UPDATE_DATE,PAYMENT_METHOD,MAX_RATE,HOURS,DAYS,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,STATUS,Shape__Area,Shape__Length
779,PARKING,11,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST S,2142,2 HOURS FREE,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,147.204833984375,69.8865169778517
2048,PARKING,1,ON STREET,12/13/2011 3:46:55 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,8174,2 HOURS FREE,5/4/2015 9:50:29 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,17.531494140625,19.2564007205804
2050,PARKING,1,ON STREET,12/13/2011 3:46:55 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,8152,2 HOURS FREE,5/1/2015 9:11:34 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,14.468505859375,16.4728856351565
2051,PARKING,1,ON STREET,12/13/2011 3:46:55 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,8173,2 HOURS FREE,5/4/2015 9:50:21 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,14.298095703125,16.6036337960362
2053,PARKING,3,ON STREET,12/14/2011 1:28:37 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST W,8153,2 HOURS FREE,5/1/2015 9:18:07 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,48.882080078125,44.9022266218742
2054,PARKING,2,ON STREET,12/14/2011 1:28:37 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST W,8154,2 HOURS FREE,5/1/2015 9:18:52 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,25.26953125,25.2817348857863
2055,PARKING,4,ON STREET,11/5/2012 4:47:40 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,SCOTT ST,2088,2 HOURS FREE,7/2/2003 3:08:05 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,50.656982421875,45.5260684572069
2056,PARKING,3,ON STREET,11/5/2012 4:47:40 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,SCOTT ST,8178,2 HOURS FREE,5/4/2015 9:55:37 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,45.412353515625,41.3301769851351
2057,PARKING,2,ON STREET,11/6/2012 3:41:19 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,2094,2 HOURS FREE,7/2/2003 3:08:06 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,26.55908203125,31.1978137815753
2058,PARKING,2,ON STREET,11/6/2012 3:41:19 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,8175,2 HOURS FREE,5/4/2015 9:54:18 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,20.5556640625,28.2702421410915
2059,PARKING,1,ON STREET,11/6/2012 3:41:19 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,8176,2 HOURS FREE,5/4/2015 9:54:25 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,15.18505859375,19.2616228481726
2060,PARKING,2,ON STREET,11/6/2012 3:41:19 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,8155,2 HOURS FREE,5/1/2015 10:25:05 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,14.328369140625,28.6526709796984
2061,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,8156,2 HOURS FREE,5/1/2015 10:29:42 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,26.733642578125,31.5362534665762
2062,PARKING,4,ON STREET,12/14/2011 1:33:51 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST W,2052,2 HOURS FREE,7/2/2003 3:08:03 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,44.69189453125,55.246121675564
2064,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,8158,2 HOURS FREE,5/1/2015 11:17:31 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,27.544921875,32.1567095651093
2065,PARKING,2,ON STREET,12/13/2011 11:59:11 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,AHRENS ST W,8159, ,5/1/2015 11:47:54 AM,5/1/2017 3:44:58 PM,METERED,,,,KITCHENER,10,2,ACTIVE,26.30322265625,24.1891271829055
2066,PARKING,2,ON STREET,12/14/2011 2:08:01 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,WATER ST N,1918,2 HOURS FREE,7/2/2003 3:07:58 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,2,ACTIVE,15.52392578125,21.4980490997606
2070,PARKING,1,ON STREET,12/14/2011 2:08:01 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,WATER ST N,8161,2 HOURS FREE,5/1/2015 11:54:55 AM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,2,ACTIVE,20.321533203125,22.5165462249151
2072,PARKING,2,ON STREET,12/13/2011 3:48:46 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,1919,1 HOUR FREE,7/2/2003 3:07:58 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,2,ACTIVE,54.005126953125,49.1725201117774
